companyId;companyName;companyRegistrationNumber;companyFoundationDate;country;zipCode;city;streetAddress;latitude;longitude;companyOwner;employees;activity;active;email;password
40;In At Pede Ltd;399639-6861;2007-05-19;Norway;46738;Gorbea;Ap #494-1350 Orci, Rd.;-44.48784;21.20729;Bradley Small;474;Building Industry;true;Nam.porttitor@lacusUt.com;sodales
41;Bibendum Ullamcorper Duis LLP;697656-2709;2012-05-07;Armenia;4421;Zona Bananera;P.O. Box 798, 7239 Ligula. St.;-26.71934;136.00369;Aidan Ortiz;204;Growing Plants;false;Nunc.quis.arcu@anunc.org;arcu.
42;Orci Phasellus LLP;862779-8948;2019-02-06;Guinea-Bissau;60410;Springfield;Ap #759-3004 Eu, Ave;29.01183;-112.70922;Camden Neal;191;Building Industry;true;eu@sed.ca;lacus.
43;Etiam Laoreet Libero PC;505947-1119;1980-02-29;Isle of Man;2940;Fort McPherson;Ap #205-6670 Lobortis Street;64.29502;-9.12611;Hilel Hays;98;Growing Plants;true;mauris@Crasvehiculaaliquet.edu;pharetra
44;Congue Elit Sed PC;054324-8066;1981-12-22;Curaçao;37939;Belo Horizonte;6105 Non Av.;14.90896;43.65768;Walter Riggs;338;Growing Plants;false;imperdiet.nec@velsapien.ca;in
45;Tincidunt Congue Turpis Corporation;665763-8158;2017-12-18;Hong Kong;291325;Aieta;P.O. Box 673, 7687 Dui St.;36.7634;17.96623;Paul Lancaster;112;Growing Plants;true;natoque.penatibus@nisl.ca;quis
46;Netus Et Malesuada Corporation;348579-3487;2001-12-06;Burkina Faso;1174;Wagga Wagga;319-2330 Lacinia St.;34.72568;167.76303;Wayne Tucker;369;Car;true;eu.tellus.Phasellus@Quisquefringilla.net;orci
47;Vehicula Pellentesque Corp.;809126-6471;1980-10-06;Dominica;1028;Mainz;788-8720 Velit Street;-86.07504;70.40259;Samuel Le;453;Building Industry;false;Donec@tellusAeneanegestas.edu;lacus.
48;Ante Bibendum Ullamcorper Foundation;952209-0514;1987-04-09;Jersey;984637;Bouwel;P.O. Box 863, 9246 Interdum. Avenue;76.39694;34.35133;Aristotle Noble;282;Growing Plants;true;Fusce.dolor@mauriselitdictum.edu;aliquam
49;Mauris Ipsum Inc.;229141-4403;1999-09-02;Laos;Z1900;Villers-sur-Semois;7076 Et Av.;-55.29531;-85.93836;Phillip Erickson;3;Growing Plants;false;augue.malesuada.malesuada@sodalesMauris.co.uk;magna.
50;Sit Amet Consectetuer Inc.;229482-3634;1977-12-19;Moldova;5738;Ereğli;Ap #320-4007 Mi Avenue;-64.51829;-165.12548;Uriel Blair;99;Car;false;nibh@diamluctus.edu;eget,
51;Accumsan Laoreet Ipsum LLP;685555-2490;2000-07-31;Mauritania;19417;Galzignano Terme;617-2164 Sem Rd.;16.83673;29.97678;Alec Best;308;Food;false;ut@loremvehicula.net;nec
52;Ut Erat Sed LLC;616405-8320;1981-12-01;Barbados;5855;General Escobedo;7817 Mauris Road;-10.94425;78.59853;Brett Vance;43;Building Industry;true;tellus.faucibus.leo@Donecnibh.com;cursus
53;Diam Proin Limited;043851-7658;1997-12-28;France;WO9J 9RO;Reno;P.O. Box 229, 7505 Orci St.;87.77386;168.01604;Vernon Harris;56;Building Industry;true;sem.Nulla.interdum@luctusfelis.org;Etiam
54;Non Sapien Industries;592842-3614;1993-11-14;Reunion;8630 PX;Blankenberge;P.O. Box 919, 7986 Consequat Ave;76.44835;99.70048;Cole Hopper;72;IT;true;metus.Aliquam.erat@ametrisusDonec.co.uk;luctus,
55;Feugiat Metus Sit Ltd;296701-2515;1976-10-31;Sweden;40323;Llanquihue;Ap #486-6806 Ornare Rd.;11.36357;8.23815;Colton Stein;281;Car;false;Donec@acsemut.co.uk;parturient
56;Et Euismod Et Consulting;934575-2878;2019-02-21;Curaçao;55507;Warminster;Ap #974-3390 Suspendisse Avenue;-58.95948;29.22972;Demetrius Holloway;396;Food;false;Proin.nisl.sem@mattis.ca;primis
57;Mollis PC;212117-5679;1989-02-17;Albania;2938;Jackson;Ap #348-2018 Lectus Rd.;-51.36397;-149.81456;Eaton Pennington;397;Building Industry;true;vitae.erat@sapien.org;egestas,
58;Aliquet Molestie Tellus Company;857403-6045;1998-11-20;Swaziland;8046;Eisenhüttenstadt;P.O. Box 303, 3224 Vitae Rd.;17.36283;-10.4616;Emmanuel Bishop;467;Growing Plants;true;Etiam@ullamcorperviverraMaecenas.com;nunc.
59;Odio Semper Cursus Limited;598188-9735;2014-11-13;Spain;83062;Stroitel;974-1180 Cum Road;59.95113;51.24992;Timon Hatfield;130;Car;false;ipsum@nisiMauris.edu;sem
60;Sit PC;496815-6002;2002-03-12;Heard Island and Mcdonald Islands;01452;Villers-Poterie;P.O. Box 880, 9209 Volutpat St.;78.58619;-139.04453;Timothy Levy;58;Building Industry;false;Donec.tincidunt.Donec@Nullamut.ca;Suspendisse
61;Urna Suscipit Nonummy Consulting;436989-3856;2010-05-08;Kuwait;54468;Falciano del Massico;527-4117 Nisi St.;85.66114;128.91869;Josiah Dunn;348;Food;false;Quisque@semmollis.com;pharetra,
62;"Posuere Cubilia Curae; Corp.";987019-0098;2009-05-01;Cuba;71-267;Plymouth;6625 Orci. Av.;-76.55281;157.25754;Joshua Roth;364;Food;true;Sed.nulla.ante@elitdictum.org;risus.
63;Proin Non Massa Industries;844094-8498;1981-09-07;Grenada;40306;Bhind;311-244 Nullam Ave;-33.4885;-76.95441;Aquila Campbell;128;Car;false;quis@quisarcuvel.com;fames
64;Nam Porttitor Scelerisque Incorporated;529736-5081;1985-07-31;Mali;2516;Tiltil;2838 Non St.;-83.8799;-160.58447;Micah Kim;82;Growing Plants;false;dignissim.magna@Maurisnondui.ca;lorem,
65;Dui Semper Associates;686201-0441;1986-03-20;Turkmenistan;60112;Zandvoorde;908-9132 Mi St.;18.87049;-5.20058;Chandler Vasquez;425;Building Industry;false;magnis.dis.parturient@enim.net;vulputate
66;Lectus Company;148952-0740;2004-03-05;Botswana;93877;Bonnyrigg;Ap #851-5106 Risus. Avenue;-72.44128;-167.34157;Leo Hartman;327;IT;true;vitae@duiquisaccumsan.edu;tortor
67;Libero Institute;034397-9407;1976-01-15;Virgin Islands, United States;42765;Morinville;413-8544 Enim. Road;-82.53925;75.97331;Berk Jacobs;47;IT;false;Nulla.tempor.augue@litoratorquent.net;non
68;Ac Nulla Corp.;086707-9717;1997-02-26;Kyrgyzstan;51711;Colledimacine;3553 Elementum Avenue;69.52146;-66.08975;Zeus Crawford;458;IT;false;erat.vitae.risus@Craseutellus.edu;Morbi
69;Sit Amet Metus PC;636578-3247;1975-08-06;Turkey;RA5 1HG;Taber;P.O. Box 885, 6937 Aliquet Road;-75.48027;-107.60812;Dieter Vaughn;12;Food;true;purus.in@pellentesque.org;at,
70;Nulla Facilisi LLP;548134-2904;1999-02-19;Northern Mariana Islands;67111;Requínoa;1667 Bibendum Ave;48.60493;-174.39938;Jackson Baird;273;Growing Plants;true;dui@aliquam.edu;arcu.
71;Integer Sem Consulting;172914-2701;2016-03-10;Libya;17008;Llanquihue;815-4103 Ac, Street;-37.44374;-171.15375;Harlan Ferrell;251;Car;true;eros.nec.tellus@Etiamgravida.net;torquent
72;Fermentum Arcu Vestibulum PC;296427-5461;2016-04-06;Tajikistan;413156;Rostock;P.O. Box 667, 6377 Egestas Av.;53.41835;-4.23415;Adam Cole;19;Car;true;elit.Nulla@nisiAenean.org;penatibus
73;Justo Foundation;357840-0222;1984-11-02;Niger;353691;Puerto Colombia;4289 Eu Rd.;-9.45301;60.35998;Gavin Powell;341;IT;false;quam.a.felis@bibendum.net;facilisis.
74;Hendrerit A Arcu Inc.;148044-0179;2006-09-21;Austria;16413;Freirina;291-5391 Mi Road;-35.06963;-103.10451;Sebastian Mccall;485;Building Industry;false;diam.Sed.diam@dictum.edu;augue
75;Cursus Consulting;976892-8765;1994-09-08;Mexico;Z6686;Camponogara;Ap #249-9275 Mi Road;55.19939;38.59427;Jonas Burt;331;Building Industry;true;adipiscing.elit@aptenttacitisociosqu.ca;pede.
76;Eu Company;319945-3329;1994-09-25;Nigeria;51845;Siquirres;P.O. Box 474, 4246 Phasellus Avenue;1.85769;121.76172;Thomas Manning;281;IT;false;Nullam.enim@nec.net;erat
77;Fusce Feugiat Lorem Industries;343080-5907;1999-05-12;Uruguay;51417;Surabaya;854-2043 Facilisis St.;35.16104;-59.11706;Cullen Lynch;28;Building Industry;false;tempor.lorem@Etiambibendumfermentum.org;ullamcorper
78;Tortor PC;125087-8269;2016-11-04;Equatorial Guinea;73642;Meeuwen-Gruitrode;P.O. Box 188, 2095 Turpis Avenue;81.66685;-132.95289;Connor Barrera;366;Car;false;leo.elementum.sem@metus.ca;felis,
79;Et Ultrices Posuere Company;659366-9846;2002-04-08;Estonia;12365;Sudhanoti;6336 Risus. Rd.;84.48759;24.76425;Ahmed Calhoun;90;Building Industry;true;risus@sociis.net;faucibus
80;Euismod Ltd;505754-2507;1981-03-26;Papua New Guinea;85892;Joondalup;Ap #285-6662 Non Road;-48.42863;-112.47054;Emmanuel Perez;134;Growing Plants;false;Cum.sociis@Duis.co.uk;felis,
81;Donec Company;905581-3969;1998-01-23;Lebanon;Z8653;Bihain;P.O. Box 952, 5590 Accumsan Rd.;23.31353;-148.3705;Lev Simon;184;Building Industry;false;Proin@molestiein.edu;lacinia
82;Neque Nullam Corporation;496430-6353;1994-04-16;Bangladesh;27618-39013;Montague;P.O. Box 764, 1587 Dis Rd.;31.90824;150.07572;Nathaniel Burt;284;Car;true;elit.fermentum@Phasellus.co.uk;libero
83;Vulputate Associates;673363-7430;1996-06-06;Ireland;37724;Bras;P.O. Box 922, 8151 Volutpat Rd.;74.14739;-59.65905;Armand Howell;442;Growing Plants;true;dis.parturient@eros.co.uk;lacus.
84;Ligula Aliquam Erat Ltd;806640-1772;2016-11-07;Singapore;697586;Dole;P.O. Box 722, 8313 Laoreet Road;-34.46051;13.72711;Patrick Mcfarland;405;IT;false;orci@pede.com;interdum
85;Tortor Integer Associates;359548-8556;1976-12-10;Ethiopia;85437;Salamanca;P.O. Box 987, 7081 Sem. Avenue;-82.42214;116.38578;Isaiah Love;409;Building Industry;false;feugiat.nec.diam@sagittis.org;orci
86;Ligula LLC;956856-4844;1996-07-24;Cuba;7748;Río Ibáñez;P.O. Box 335, 394 Dictum Av.;-23.00652;96.81938;Griffin Mcintyre;466;Car;false;augue.scelerisque.mollis@afelisullamcorper.net;Mauris
87;Et Commodo Limited;442801-8735;2002-12-20;France;8396;Rixensart;7720 Quisque Ave;60.00947;66.99372;Kermit Maddox;310;Growing Plants;true;penatibus@dapibusidblandit.edu;enim
88;Aliquet Metus Urna Associates;203888-3068;2004-12-05;Tonga;241312;Allentown;Ap #632-6950 In Street;53.25403;132.63357;Fletcher Langley;213;Car;false;dictum@egestasSed.ca;mauris.
89;Elit Sed Consequat Foundation;742337-5281;1976-01-08;Guinea-Bissau;72654-179;Cinisi;2153 Sit Avenue;-73.94114;142.51448;Austin Mayer;57;Car;false;a.arcu@eget.com;vitae
90;Elit Pede LLP;484250-8378;2017-11-24;Comoros;870133;Le Cannet;Ap #112-122 In Street;-43.28177;148.36225;Mark Alvarez;378;Building Industry;true;Donec.est@Sed.edu;id,
91;Elementum LLP;503420-9477;2008-12-11;Saint Pierre and Miquelon;2589;Reno;P.O. Box 805, 3745 Ultrices Av.;62.52045;120.79172;Francis Pacheco;191;Food;true;nulla@tempuseu.co.uk;nec
92;Et Eros Ltd;032113-0866;2016-07-26;Saudi Arabia;99198;Valéncia;811-8295 Lectus St.;16.60793;-101.78048;Barclay Moran;98;Building Industry;false;mauris@eget.ca;sem
93;Sit Amet Risus Corporation;489799-8763;1979-05-06;Montenegro;66173;Wambeek;P.O. Box 274, 579 Sit Avenue;29.5178;4.56206;Tobias Peck;63;Growing Plants;false;dignissim@malesuadavelconvallis.co.uk;facilisis
94;Tristique Company;404399-6885;2002-06-28;South Sudan;709185;Ponta Grossa;P.O. Box 660, 911 Curabitur St.;-12.46639;-47.80895;Stone Fletcher;117;Growing Plants;false;Aliquam@odiosagittissemper.ca;tortor,
95;Eu Tellus Eu Associates;148798-5010;2001-07-18;Venezuela;49633;Temuco;749-2666 Volutpat. St.;-56.47309;-85.77269;Porter Anderson;275;Car;true;In.scelerisque.scelerisque@urna.com;eu,
96;Cursus Non Corporation;993494-9752;1989-09-01;Cayman Islands;6489 OA;Lac-Serent;7401 Blandit Av.;-59.45704;-113.11917;Kareem Hansen;89;Car;true;vitae.odio.sagittis@ridiculus.ca;dignissim
97;Erat LLP;674411-4775;2013-11-01;French Guiana;Z5708;Longvilly;Ap #960-133 Arcu. Rd.;-37.52415;-121.76164;Amos Osborn;164;Growing Plants;true;nunc@ametorci.net;arcu.
98;Et Consulting;232008-1199;2013-03-24;Chad;Z3020;Bowling Green;1073 Turpis. St.;-10.23881;16.91773;Palmer Norman;248;Food;true;libero@vitaesemper.co.uk;enim.
99;Lacus Associates;219173-9727;1989-02-08;Congo (Brazzaville);14914;Böblingen;6688 Metus. St.;76.54404;-91.16178;Akeem Porter;42;Food;true;Duis.ac.arcu@non.co.uk;massa.
100;Enim Associates;488428-9150;2011-11-11;Sao Tome and Principe;44419;Tamworth;5003 Quam Avenue;72.31592;-174.92451;Callum Leonard;392;IT;false;nisi.Cum@quama.com;ut,
